panel	method	fsize	sigma	iteration	mu_size	mu_count
A	cs2	5	0.50	6	373.98	64.55
A	cs2	5	0.50	11	371.92	65.1
A	cs2	5	0.50	16	372.45	65.05
A	cs2	5	0.50	21	372.45	65.1
A	cs2	5	0.50	26	372.71	65.1
A	cs2	5	0.50	31	372.63	65.05
A	cs2	5	0.50	36	372.99	64.95
A	cs2	5	0.50	41	372.98	64.95
A	cs2	5	0.50	46	372.98	64.95
A	cs2	5	0.50	51	372.98	64.95
A	cs2	5	0.50	56	372.98	64.95
A	cs2	5	0.50	61	372.98	64.95
A	cs2	5	0.50	66	372.98	64.95
A	cs2	5	0.50	71	372.98	64.95
A	cs2	5	0.50	76	372.98	64.95
A	cs2	5	0.50	81	372.98	64.95
A	cs2	5	0.50	86	372.98	64.95
A	cs2	5	0.50	91	372.98	64.95
A	cs2	5	0.50	96	372.98	64.95
A	cs2	5	0.50	101	372.98	64.95
A	cs2	5	0.50	106	372.98	64.95
A	cs2	5	0.50	111	372.98	64.95
A	cs2	5	0.50	116	372.98	64.95
A	cs2	5	0.50	121	372.98	64.95
A	cs2	5	0.50	126	372.98	64.95
A	cs2	5	0.50	131	372.98	64.95
A	cs2	5	0.50	136	372.98	64.95
A	cs2	5	0.50	141	372.98	64.95
A	cs2	5	0.50	146	372.98	64.95
A	cs2	5	0.50	151	372.98	64.95
A	cs2	5	0.50	156	372.98	64.95
A	cs2	5	0.50	161	372.98	64.95
A	cs2	5	0.50	166	372.98	64.95
A	cs2	5	0.50	171	372.98	64.95
A	cs2	5	0.50	176	372.98	64.95
A	cs2	5	0.50	181	372.98	64.95
A	cs2	5	0.50	186	372.98	64.95
A	cs2	5	0.50	191	372.98	64.95
A	cs2	5	0.50	196	372.98	64.95
A	cs2	5	0.50	201	372.98	64.95
A	cs2	5	0.50	206	372.98	64.95
A	cs2	5	0.50	211	372.98	64.95
A	cs2	5	0.50	216	372.98	64.95
A	cs2	5	0.50	221	372.98	64.95
A	cs2	5	0.50	226	372.98	64.95
A	cs2	5	0.50	231	372.98	64.95
A	cs2	5	0.50	236	372.98	64.95
A	cs2	5	0.50	241	372.98	64.95
A	cs2	5	0.50	246	372.98	64.95
A	cs2	5	0.50	251	372.98	64.95
A	cs2	5	0.50	256	372.98	64.95
A	cs2	5	0.50	261	372.98	64.95
A	cs2	5	0.50	266	372.98	64.95
A	cs2	5	0.50	271	372.98	64.95
A	cs2	5	0.50	276	372.98	64.95
A	cs2	5	0.50	281	372.98	64.95
A	cs2	5	0.50	286	372.98	64.95
A	cs2	5	0.50	291	372.98	64.95
A	cs2	5	0.50	296	372.98	64.95
A	cs2	5	0.75	6	370.54	62.95
A	cs2	5	0.75	11	367.72	63.55
A	cs2	5	0.75	16	361.86	65.05
A	cs2	5	0.75	21	356.28	66.35
A	cs2	5	0.75	26	351.96	67.5
A	cs2	5	0.75	31	346.67	68.9
A	cs2	5	0.75	36	339.77	70.55
A	cs2	5	0.75	41	330.01	73.3
A	cs2	5	0.75	46	322.92	75.35
A	cs2	5	0.75	51	317.09	77.1
A	cs2	5	0.75	56	310.52	79.45
A	cs2	5	0.75	61	303.81	81.55
A	cs2	5	0.75	66	294.47	84.6
A	cs2	5	0.75	71	281.42	6560.7
A	cs2	5	0.75	76	263.76	21540.35
A	cs2	5	0.75	81	246.99	31009.75
A	cs2	5	0.75	86	243.72	28034.7
A	cs2	5	0.75	91	240.48	25599.4
A	cs2	5	0.75	96	227.26	38632.9
A	cs2	5	0.75	101	223.99	43952.45
A	cs2	5	0.75	106	219.79	41740.4
A	cs2	5	0.75	111	210.25	45650.9
A	cs2	5	0.75	116	208.07	37266.7
A	cs2	5	0.75	121	206.03	44765.65
A	cs2	5	0.75	126	196.42	49905.45
A	cs2	5	0.75	131	188.85	54427.05
A	cs2	5	0.75	136	186.18	59746.4
A	cs2	5	0.75	141	184.78	57318.9
A	cs2	5	0.75	146	174.89	69331.6
A	cs2	5	0.75	151	165.04	70993.2
