panel	method	fsize	sigma	iteration	mu_size	mu_count
A	cs2	5	0.50	2	388.31	62.9
A	cs2	5	0.50	3	385.78	63.2
A	cs2	5	0.50	4	383.99	63.45
A	cs2	5	0.50	5	379.91	64.45
A	cs2	5	0.50	6	379.14	64.55
A	cs2	5	0.50	7	378.18	64.8
A	cs2	5	0.50	8	377.88	64.9
A	cs2	5	0.50	9	378.45	64.85
A	cs2	5	0.50	10	377.35	65.05
A	cs2	5	0.50	11	377.12	65.1
A	cs2	5	0.50	12	377.66	65.05
A	cs2	5	0.50	13	378.38	64.95
A	cs2	5	0.50	14	378.18	65.0
A	cs2	5	0.50	15	378.35	65.0
A	cs2	5	0.50	16	377.84	65.05
A	cs2	5	0.50	17	377.73	65.1
A	cs2	5	0.50	18	377.84	65.05
A	cs2	5	0.50	19	377.92	65.1
A	cs2	5	0.50	20	377.87	65.1
A	cs2	5	0.50	21	377.86	65.1
A	cs2	5	0.50	22	377.85	65.1
A	cs2	5	0.50	23	377.81	65.1
A	cs2	5	0.50	24	377.91	65.1
A	cs2	5	0.50	25	378.13	65.1
A	cs2	5	0.50	26	378.13	65.1
A	cs2	5	0.50	27	378.1	65.1
A	cs2	5	0.50	28	378.1	65.1
A	cs2	5	0.50	29	377.93	65.1
A	cs2	5	0.50	30	378.1	65.05
A	cs2	5	0.50	31	378.1	65.05
A	cs2	5	0.50	32	378.4	65.0
A	cs2	5	0.50	33	378.49	64.95
A	cs2	5	0.50	34	378.49	64.95
A	cs2	5	0.50	35	378.49	64.95
A	cs2	5	0.50	36	378.49	64.95
A	cs2	5	0.50	37	378.48	64.95
A	cs2	5	0.50	38	378.48	64.95
A	cs2	5	0.50	39	378.48	64.95
A	cs2	5	0.50	40	378.47	64.95
A	cs2	5	0.50	41	378.47	64.95
A	cs2	5	0.50	42	378.47	64.95
A	cs2	5	0.50	43	378.47	64.95
A	cs2	5	0.50	44	378.59	64.95
A	cs2	5	0.50	45	378.47	64.95
A	cs2	5	0.50	46	378.47	64.95
A	cs2	5	0.50	47	378.47	64.95
A	cs2	5	0.50	48	378.47	64.95
A	cs2	5	0.50	49	378.47	64.95
A	cs2	5	0.50	50	378.47	64.95
A	cs2	5	0.50	51	378.48	64.95
A	cs2	5	0.50	52	378.48	64.95
A	cs2	5	0.50	53	378.48	64.95
A	cs2	5	0.50	54	378.48	64.95
A	cs2	5	0.50	55	378.48	64.95
A	cs2	5	0.50	56	378.47	64.95
